project_index,bldg_proj_type,mat_group,mui,eci
1,New Construction,Acoustic ceilings,4.49532824446899,8.7450928173031
1,New Construction,Adhesives and sealants,0.08725888517806185,0.22865552044948548
1,New Construction,Air and vapor barriers,0.08423280308536084,0.18095846460608453
1,New Construction,Aluminum,4.363677871539835,27.315811938265565
1,New Construction,Cladding,1.622682350686598,12.887487346500166
1,New Construction,Coatings,0.547523960314433,2.1359440892412924
1,New Construction,Concrete,1440.561578358901,262.06564897177185
1,New Construction,Doors and frames,2.32544135900334,4.792191619191808
1,New Construction,Flooring and tile,1.2183878504172372,3.1041414870408226
1,New Construction,Glazing,2.1574247498694845,3.6757398835683874
1,New Construction,Gypsum,33.01904050609588,7.134760486393564
1,New Construction,Insulation,2.0672497352271546,8.125065085885197
1,New Construction,Masonry,27.92362227030431,4.3724303712847465
1,New Construction,Other metals,0.004101929614701031,0.021657730713998145
1,New Construction,Roofing and waterproofing,0.7075475541920206,1.2512442965049757
1,New Construction,Steel,56.37784696007549,113.95594355126654
1,New Construction,Windows and frames,0.43529473020680415,4.756791332817954
1,New Construction,Wood and composites,0.11709849434845361,0.05348921224685774
100,New Construction,Acoustic ceilings,5.12283368933849,25.465078960804323
100,New Construction,Adhesives and sealants,0.04792621310595919,0.12322801138992776
100,New Construction,Air and vapor barriers,0.9643424315002449,1.732216080847302
100,New Construction,Aluminum,1.8499151595661634,15.398226547253511
100,New Construction,Applied fireproofing,45.88887519416082,52.313317721343324
100,New Construction,Cladding,1.709378730332245,4.215318189096588
100,New Construction,Coatings,0.8857266470945715,3.4207653507708753
100,New Construction,Concrete,679.3190642493129,116.79550136417907
100,New Construction,Doors and frames,0.9516211213659591,2.5911569807502466
100,New Construction,Flooring and tile,0.05141335179004082,0.2714554545265649
100,New Construction,Glazing,7.716137542501429,9.129959909541142
100,New Construction,Gypsum,49.43087245319061,11.535583091694217
100,New Construction,Insulation,12.281194822387183,171.28547382072048
100,New Construction,Masonry,0.011001367429795919,0.005901504527784082
100,New Construction,Other,0.0021527200991836733,0.006113725081681633
100,New Construction,Other metals,0.004369502553061224,0.022929325627109795
100,New Construction,Roofing and waterproofing,0.6362924365771429,1.5371513586692491
100,New Construction,Steel,122.98685454195821,238.31989307817207
100,New Construction,Wood and composites,3.0119352460285715,1.2434677609901388
