project_index,bldg_proj_type,mat_type,mui,eci
1,New Construction,Acoustic ceiling tile aluminum,0.041935491475670106,0.2830645674607732
1,New Construction,Acoustic ceiling tile fiber,0.03303358862721649,0.11528722430898557
1,New Construction,Acoustic ceilings - other,3.8624705546391755,6.991071703896907
1,New Construction,Adhesives and sealants,0.08725888517806185,0.22865552044948548
1,New Construction,Air and vapor barriers,0.08423280308536084,0.18095846460608453
1,New Construction,Aluminum - other,0.7810479839587628,6.611447110428454
1,New Construction,Aluminum composite panel ACM,1.6140666852783505,12.831830147962886
1,New Construction,Aluminum door,0.13660289506309278,0.6254423928062062
1,New Construction,Aluminum door frame,0.002651179793814433,0.02319782319587629
1,New Construction,Aluminum framed window,0.3335783299014433,3.739627329764346
1,New Construction,Aluminum sheet,3.2810505967707626,18.439504353851685
1,New Construction,Aluminum storefront or curtain wall,0.10171640030536083,1.0171640030536082
1,New Construction,Brick clay,0.7111772532989691,0.20553022620340206
1,New Construction,CMU,12.781661478969072,1.4315460856445363
1,New Construction,Carpet,0.00017624973063917526,0.0007367238740717525
1,New Construction,Ceramic tile,0.049015183200000007,0.012841977998399999
1,New Construction,Closed cell spray polyurethane foam,0.051526926603092785,0.16601584941093814
1,New Construction,Coatings - other,0.10136332248428866,1.0658073367378018
1,New Construction,Cold formed steel framing,5.191003265787629,12.71795800117969
1,New Construction,Concrete - other,2.7144349352989687,0.6016169151344883
1,New Construction,Doors and frames - other,0.3451351407895258,2.1320871700897506
1,New Construction,EPDM,0.2822748217944742,0.9109377811523925
1,New Construction,Extruded polystyrene XPS,0.07169033883505155,4.659410696231044
1,New Construction,Extrusion,0.30157929081030926,2.2648604739854226
1,New Construction,Fasteners,0.004101929614701031,0.021657730713998145
1,New Construction,Fiberglass blanket,0.0027215342554020618,0.005584082943907424
1,New Construction,GFRC general,7.856464587113403,1.9326902884298969
1,New Construction,Glass mat gypsum board,1.338468929327835,0.633095803572066
1,New Construction,Glazing - other,1.7749333781962886,2.996032559489604
1,New Construction,Gypsum board,31.680571576768042,6.501664682821498
1,New Construction,Hollow structural sections HSS,0.49439833954577317,1.2171717734276186
1,New Construction,Hot-rolled sections,0.006314609045793815,0.006079679229715752
1,New Construction,Insulated glass unit IGU,0.3824913716731959,0.6797073240787834
1,New Construction,Medium density fiberboard MDF,0.05663657181443299,0.03987214655736083
1,New Construction,Mineral wool high density,1.3577879764824743,2.430440477903629
1,New Construction,Mineral wool low density,0.583522959051134,0.8636139793956784
1,New Construction,Modified bitumen,0.4154241993645567,0.308889694977346
1,New Construction,Mortar and grout,14.325414355003279,2.6765580553044
1,New Construction,Paint,0.44616063783014437,1.0701367525034908
1,New Construction,Precast,0.06235171754639175,0.009727226456162336
1,New Construction,Ready mix LW 3000,0.6797377030927835,0.17890643834825973
1,New Construction,Ready mix NW 4000,260.42863036319585,41.529170947453494
1,New Construction,Ready mix NW 5000,998.7235270430866,178.6400790201538
1,New Construction,Ready mix NW 6000,13.50071120329897,2.652910609593271
1,New Construction,Ready mix NW 8000,156.59572080626805,36.520547526202506
1,New Construction,Rebar and reinforcement,45.48848393198495,86.88281035680683
1,New Construction,Resilient flooring vinyl,1.1691964174865979,3.090562785168351
1,New Construction,Roll formed metal panel aluminum,0.008615665408247422,0.05565719853727835
1,New Construction,Softwood framing,0.03291898711340206,0.005530389835051546
1,New Construction,Softwood plywood,0.023425052070103092,0.006184213746507216
1,New Construction,Steel - other,4.889334923814433,12.413557037162887
1,New Construction,Steel door,0.2993343145030928,0.9548410877266866
1,New Construction,Steel door frame,0.0026312971315463917,0.007236067111752577
1,New Construction,Steel sheet,0.3083118898969072,0.7183667034597938
1,New Construction,Stone masonry,0.1053691830329897,0.05879600413240825
1,New Construction,Suspension assembly,0.5578886097269279,1.3556693216364346
1,New Construction,TPO,0.00984853303298969,0.03141682037523711
1,New Construction,Wood and composites - other,0.004117883350515464,0.0019024621079381445
1,New Construction,Wood door frame,0.06905741525773196,0.3038526271340206
1,New Construction,Wood or composite door,1.470029116464536,0.745534451127515
100,New Construction,Acoustic ceiling tile aluminum,2.7996197185265306,18.22641516467449
100,New Construction,Acoustic ceiling tile fiber,1.503069667034694,5.245713137951082
100,New Construction,Adhesives and sealants,0.04792621310595919,0.12322801138992776
100,New Construction,Air and vapor barriers,0.9643424315002449,1.732216080847302
100,New Construction,Aluminum composite panel ACM,0.32008423130612246,2.5446696388836734
100,New Construction,Aluminum door frame,0.0005583438367346939,0.004885508571428571
100,New Construction,Aluminum sheet,0.26055670671106124,1.5631776020072459
100,New Construction,Carpet,0.04953523848244898,0.2610507068025061
