project_index,bldg_proj_type,mat_group,mui,eci,bldg_prim_use_recat
106,New Construction,Wood and composites,144.83663139477034,58.24328272222231,Public Assembly
109,New Construction,Acoustic ceilings,0.3022400952318033,0.6191146251708558,Public Assembly
109,New Construction,Adhesives and sealants,0.0277472312426229,0.0707414038654516,Public Assembly
109,New Construction,Air and vapor barriers,0.4467973172950819,0.3555888022682787,Public Assembly
109,New Construction,Aluminum,1.21972844841459,7.378391504878549,Public Assembly
109,New Construction,Cladding,5.19900927559082,22.05806992844177,Public Assembly
109,New Construction,Coatings,1.565272101092131,12.83602055587764,Public Assembly
109,New Construction,Concrete,1055.6697106023116,218.7212145395075,Public Assembly
109,New Construction,Doors and frames,0.5416335646896722,2.3323461542782264,Public Assembly
109,New Construction,Flooring and tile,0.1963151470737704,0.4607679891783442,Public Assembly
109,New Construction,Glazing,2.911328825191803,3.5596201357263606,Public Assembly
109,New Construction,Gypsum,14.5869301323,3.2720938664679573,Public Assembly
109,New Construction,Insulation,4.841273863967213,295.4947829391786,Public Assembly
109,New Construction,Masonry,93.17554103259688,13.125959173603038,Public Assembly
109,New Construction,Other metals,0.5229679000081967,3.022754462047377,Public Assembly
109,New Construction,Roofing and waterproofing,3.8037250146229504,3.4187446647816397,Public Assembly
109,New Construction,Steel,204.37755200096933,358.3446241819777,Public Assembly
109,New Construction,Windows and frames,0.0016460709540983,0.0164607095409836,Public Assembly
109,New Construction,Wood and composites,0.11014576276,0.0477478040773168,Public Assembly
11,New Construction,Acoustic ceilings,0.6241141297017544,0.965843475086228,Office
11,New Construction,Aluminum,2.8810885213378947,25.35550249853168,Office
11,New Construction,Cladding,0.2280024707542982,0.1718386522539596,Office
11,New Construction,Coatings,0.3201075520530702,1.136326990850121,Office
11,New Construction,Concrete,1316.688755491558,183.54459509759727,Office
11,New Construction,Doors and frames,1.58816957348693,2.6827032811260176,Office
11,New Construction,Flooring and tile,0.5146745444736842,0.1348447306521052,Office
11,New Construction,Glazing,7.1431081707964905,9.24817450498271,Office
11,New Construction,Gypsum,23.45552037565342,4.761746410034844,Office
11,New Construction,Insulation,1.2380542767933334,3.477486900100407,Office
11,New Construction,Masonry,77.62468147059562,11.833839949297602,Office
11,New Construction,Other,0.0105423659070175,0.0299403191759298,Office
11,New Construction,Other metals,0.0021990367592982,0.0092348065932342,Office
11,New Construction,Steel,102.56181832375668,198.92138836748475,Office
110,New Construction,Acoustic ceilings,1.0794782353580246,1.6705390256282222,Residential: Multifamily (5 or more units)
110,New Construction,Adhesives and sealants,0.0647780547061111,0.0331315730181685,Residential: Multifamily (5 or more units)
110,New Construction,Air and vapor barriers,0.4811040471529012,0.5303797159431722,Residential: Multifamily (5 or more units)
110,New Construction,Aluminum,2.6054724409201238,17.29578342158851,Residential: Multifamily (5 or more units)
110,New Construction,Applied fireproofing,1.8364560447111111,2.0935598909706665,Residential: Multifamily (5 or more units)
110,New Construction,Cladding,5.743011539403765,8.490564513493108,Residential: Multifamily (5 or more units)
110,New Construction,Coatings,0.9429998933214816,3.685854003575775,Residential: Multifamily (5 or more units)
110,New Construction,Concrete,941.2605698251816,161.65170330306012,Residential: Multifamily (5 or more units)
110,New Construction,Doors and frames,4.204726055495865,14.227594032573096,Residential: Multifamily (5 or more units)
110,New Construction,Flooring and tile,2.566144539738642,4.551006778010735,Residential: Multifamily (5 or more units)
110,New Construction,Glazing,1.816193487103704,2.437302582160074,Residential: Multifamily (5 or more units)
110,New Construction,Gypsum,70.16638039375309,15.12935713485405,Residential: Multifamily (5 or more units)
110,New Construction,Insulation,2.716646576725741,31.3223116927131,Residential: Multifamily (5 or more units)
110,New Construction,Masonry,2.0619068609746294,0.5688666527531232,Residential: Multifamily (5 or more units)
110,New Construction,Other metals,0.0705875346548765,0.3332870355290901,Residential: Multifamily (5 or more units)
110,New Construction,Roofing and waterproofing,0.3087799021234568,1.0907752424980186,Residential: Multifamily (5 or more units)
110,New Construction,Steel,99.281365911226,141.76530645979946,Residential: Multifamily (5 or more units)
110,New Construction,Synthetic composites,0.0037201778753086,0.0152899310675185,Residential: Multifamily (5 or more units)
110,New Construction,Wall coverings,0.003656221393395,0.0720866364950827,Residential: Multifamily (5 or more units)
110,New Construction,Windows and frames,0.8232771338985184,8.232771338985186,Residential: Multifamily (5 or more units)
110,New Construction,Wood and composites,1.8687398507602468,1.0551851307814717,Residential: Multifamily (5 or more units)
111,New Construction,Acoustic ceilings,0.2557738324984523,0.5476387158799536,Laboratory
111,New Construction,Adhesives and sealants,0.1156956602663095,0.2852952696569214,Laboratory
111,New Construction,Air and vapor barriers,0.7536049255670239,0.6751739366365893,Laboratory
111,New Construction,Aluminum,2.4621135106690475,18.83109635280323,Laboratory
111,New Construction,Applied fireproofing,0.1058704743725,0.2678523001624249,Laboratory
111,New Construction,Cladding,0.7365557508757142,2.9305514712029472,Laboratory
111,New Construction,Coatings,0.3091775321333333,3.0662210885136365,Laboratory
111,New Construction,Concrete,1478.8975307587975,270.8137646855,Laboratory
111,New Construction,Doors and frames,2.280282459600238,8.589060812907682,Laboratory
111,New Construction,Flooring and tile,2.3022766287379763,0.7480069545480297,Laboratory
111,New Construction,Glazing,7.740649706810953,11.214128833745,Laboratory
111,New Construction,Gypsum,9.35716402995476,4.276497262925031,Laboratory
111,New Construction,Insulation,4.357753656395714,98.48355214489082,Laboratory
111,New Construction,Masonry,237.77865899085523,32.91369341102373,Laboratory
111,New Construction,Other metals,0.0696574201728571,0.3607934752100166,Laboratory
111,New Construction,Roofing and waterproofing,0.9392268646080952,1.248440267790374,Laboratory
111,New Construction,Steel,110.9977056336237,164.98012335195963,Laboratory
111,New Construction,Synthetic composites,0.2878105219047619,0.3482507315047619,Laboratory
111,New Construction,Wall coverings,0.0055264562769047,0.1099764799104047,Laboratory
111,New Construction,Windows and frames,0.1295703374095238,1.0348109172535238,Laboratory
111,New Construction,Wood and composites,0.9918257949523808,0.4785961043240476,Laboratory
113,New Construction,Acoustic ceilings,0.0897550135702857,0.2852845795903657,Laboratory
113,New Construction,Adhesives and sealants,0.1028719782366285,0.2797396920484837,Laboratory
113,New Construction,Air and vapor barriers,0.0282183664105142,0.0685353995371274,Laboratory
113,New Construction,Aluminum,3.768744267175143,26.965991027239266,Laboratory
113,New Construction,Applied fireproofing,23.574501795928,26.87493204735792,Laboratory
113,New Construction,Cladding,0.0945596435576,0.237344705329576,Laboratory
113,New Construction,Coatings,2.4486666417687712,22.68142096638085,Laboratory
113,New Construction,Concrete,720.9681629190571,127.10674941754844,Laboratory
113,New Construction,Doors and frames,1.1930005644849142,4.84788578719788,Laboratory
113,New Construction,Flooring and tile,0.4150199023983428,0.1124195417172737,Laboratory
113,New Construction,Glazing,11.087464882454055,14.76766765239983,Laboratory
113,New Construction,Gypsum,23.84355830682557,5.165178911739989,Laboratory
113,New Construction,Insulation,7.287573988952143,17.531972121727282,Laboratory
113,New Construction,Masonry,50.05715407154286,7.373932743783315,Laboratory
113,New Construction,Other metals,2.6090166559695427,12.591559830835632,Laboratory
113,New Construction,Roofing and waterproofing,0.7230649932585714,1.1868161969457836,Laboratory
113,New Construction,Steel,333.5945776944411,363.6098857420397,Laboratory
113,New Construction,Wall coverings,2.35063424e-05,0.0004677762137599,Laboratory
113,New Construction,Windows and frames,0.1192820067939142,1.1619852831606656,Laboratory
113,New Construction,Wood and composites,0.5326315168754857,0.3672392164362091,Laboratory
114,New Construction,Aluminum,13.86335616438356,84.19483561643835,Office
114,New Construction,Cladding,3.5423917808219176,13.419241095890412,Office
114,New Construction,Concrete,1173.1885643835617,108.068498630137,Office
114,New Construction,Doors and frames,0.2906301369863013,1.015953424657534,Office
114,New Construction,Glazing,4.221208219178082,6.036328767123288,Office
114,New Construction,Gypsum,24.88198082191781,9.697723287671232,Office
114,New Construction,Insulation,11.757484931506848,42.78530410958904,Office
114,New Construction,Masonry,128.5905917808219,20.43017808219178,Office
114,New Construction,Roofing and waterproofing,3.899419178082192,6.279991780821918,Office
114,New Construction,Steel,254.6581698630137,489.39328493150686,Office
116,New Construction,Acoustic ceilings,0.0137796,0.0036899,Warehouse and Storage
116,New Construction,Air and vapor barriers,0.0137065,0.0426273999999999,Warehouse and Storage
116,New Construction,Aluminum,0.9561431,9.3718598,Warehouse and Storage
116,New Construction,Cladding,0.0225246,0.0979573,Warehouse and Storage
116,New Construction,Concrete,687.9105393,89.0122001,Warehouse and Storage
116,New Construction,Doors and frames,0.4426721999999999,1.3088354,Warehouse and Storage
116,New Construction,Flooring and tile,0.0106338,0.0146609999999999,Warehouse and Storage
116,New Construction,Glazing,0.3011184,0.5540579,Warehouse and Storage
116,New Construction,Gypsum,0.8602158,0.2751721,Warehouse and Storage
116,New Construction,Insulation,5.477218999999999,22.9829419,Warehouse and Storage
116,New Construction,Masonry,3.5471608,1.4144767,Warehouse and Storage
116,New Construction,Roofing and waterproofing,1.8772652,5.2956336,Warehouse and Storage
116,New Construction,Steel,45.0197678,69.5464407,Warehouse and Storage
116,New Construction,Windows and frames,0.0181271,0.0706384,Warehouse and Storage
117,New Construction,Acoustic ceilings,2.266463209734744,3.3595811964441453,Education
117,New Construction,Aluminum,0.2363436200128763,1.5558032423516617,Education
117,New Construction,Applied fireproofing,6.669583786593262,7.603325516716318,Education
117,New Construction,Cladding,6.51321622170736,3.386604904871665,Education
117,New Construction,Coatings,0.058969433308212,0.1641098706701076,Education
117,New Construction,Concrete,479.5703967743707,84.90648344475693,Education
117,New Construction,Doors and frames,0.4020162467322535,3.8659034702232993,Education
117,New Construction,Glazing,7.755913267073372,11.708759218834004,Education
117,New Construction,Gypsum,8.181460482675464,2.068115866420124,Education
117,New Construction,Insulation,1.9626588706791208,52.3139008538267,Education
117,New Construction,Masonry,12.439379150111424,3.107195510658952,Education
117,New Construction,Other,0.3086689671601396,0.8766198667347965,Education
117,New Construction,Other metals,0.0043237331389601,0.0175111192127884,Education
117,New Construction,Roofing and waterproofing,0.3276300164519088,1.1368761570881238,Education
117,New Construction,Steel,48.26065758913629,82.44214302997295,Education
117,New Construction,Wall coverings,0.025590423248471,0.5068425587754127,Education
117,New Construction,Windows and frames,3.2390601053479484,23.37546637780357,Education
117,New Construction,Wood and composites,136.5261859250108,51.10818690596248,Education
119,New Construction,Acoustic ceilings,0.0363684705882352,0.04146,Warehouse and Storage
119,New Construction,Coatings,0.4980135294117647,0.9611661176470588,Warehouse and Storage
119,New Construction,Concrete,881.8977405882353,125.08357752941176,Warehouse and Storage
119,New Construction,Doors and frames,0.7008795294117647,2.073886588235294,Warehouse and Storage
119,New Construction,Flooring and tile,0.0603503529411764,0.1444697647058823,Warehouse and Storage
119,New Construction,Gypsum,0.186393294117647,0.0574698823529411,Warehouse and Storage
119,New Construction,Insulation,3.2016689411764703,7.979951764705882,Warehouse and Storage
119,New Construction,Roofing and waterproofing,1.4873876470588234,5.176108823529412,Warehouse and Storage
119,New Construction,Steel,39.49830894117647,65.209502,Warehouse and Storage
119,New Construction,Windows and frames,0.3310025882352941,1.4671467058823529,Warehouse and Storage
12,New Construction,Acoustic ceilings,4.44943914993534,16.207148937241087,Office
12,New Construction,Adhesives and sealants,0.1851320346102524,0.1481319862438656,Office
12,New Construction,Aluminum,0.3013371738990291,1.941257386871806,Office
12,New Construction,Applied fireproofing,9.507487178979048,10.936818332781389,Office
12,New Construction,Cladding,0.7692285303278835,4.684134137752805,Office
12,New Construction,Coatings,0.3052398009848349,1.0104011918452167,Office
12,New Construction,Concrete,1014.4757320353724,155.05426271107785,Office
12,New Construction,Doors and frames,0.4811839242148349,0.879224754704346,Office
12,New Construction,Flooring and tile,1.3878158395718834,4.065556529681253,Office
12,New Construction,Glazing,7.051345744962136,31.58567577686673,Office
12,New Construction,Gypsum,10.720441344195727,2.448484796146648,Office
12,New Construction,Insulation,0.800202133570699,8.678541304695512,Office
12,New Construction,Masonry,22.272565413696626,3.606104814288604,Office
12,New Construction,Other,0.2848667017708738,0.7463507586396894,Office
12,New Construction,Other metals,0.0080259216452621,0.0345117510086497,Office
12,New Construction,Roofing and waterproofing,0.1027285876116504,0.5773346623774758,Office
12,New Construction,Steel,130.99866576519133,223.8461698805876,Office
12,New Construction,Wall coverings,0.0135014693245242,0.15820628105558,Office
12,New Construction,Windows and frames,2.4969913756234954,24.969913756234952,Office
12,New Construction,Wood and composites,0.0122131701429126,0.0131429243813592,Office
120,New Construction,Coatings,0.3423563909774436,0.660747969924812,Warehouse and Storage
120,New Construction,Concrete,980.0684583458648,173.91760932330828,Warehouse and Storage
120,New Construction,Doors and frames,0.6293100751879699,1.8214526315789477,Warehouse and Storage
120,New Construction,Insulation,3.006566315789473,7.493671278195489,Warehouse and Storage
120,New Construction,Masonry,3.8313224060150377,1.0566018045112782,Warehouse and Storage
120,New Construction,Roofing and waterproofing,1.4899612030075189,5.185064962406015,Warehouse and Storage
120,New Construction,Steel,38.81239187969925,65.8900547368421,Warehouse and Storage
120,New Construction,Windows and frames,0.2536965413533834,1.124492932330827,Warehouse and Storage
121,New Construction,Acoustic ceilings,2.104858088995606,3.365306777835979,Education
121,New Construction,Adhesives and sealants,0.0630209677856689,0.1942275213292836,Education
121,New Construction,Air and vapor barriers,0.8477632156430801,0.787812762717319,Education
121,New Construction,Aluminum,4.3116017603691486,31.4165531879632,Education
121,New Construction,Cladding,2.27860070403098,11.372945098244635,Education
121,New Construction,Coatings,0.550867920533337,2.0503613497301427,Education
121,New Construction,Concrete,1539.3971831902186,244.2540765621974,Education
121,New Construction,Doors and frames,1.4265159064903024,2.3446433090865675,Education
121,New Construction,Flooring and tile,0.6245800508043086,0.3979661060560194,Education
121,New Construction,Glazing,5.972668340949033,9.553908881484167,Education
121,New Construction,Gypsum,39.63876241065222,8.617242255076011,Education
121,New Construction,Insulation,6.315004377686165,38.96444175436088,Education
121,New Construction,Masonry,0.1021006648747764,0.0538330158611981,Education
121,New Construction,Other metals,0.0029120583479367,0.0123099824465111,Education
121,New Construction,Roofing and waterproofing,3.0046046966699693,4.665143002444207,Education
121,New Construction,Steel,76.39652483581938,149.91097182497657,Education
121,New Construction,Synthetic composites,0.1068435874320115,0.3109148394271535,Education
121,New Construction,Wall coverings,0.0102343612502154,0.203663788879287,Education
121,New Construction,Windows and frames,0.0222062503292067,0.1905863342161751,Education
121,New Construction,Wood and composites,5.355470336476834,2.9533586492558803,Education
123,New Construction,Acoustic ceilings,0.4211265865818877,0.6517115163366152,Education
123,New Construction,Adhesives and sealants,0.978206914382072,2.128566096235981,Education
123,New Construction,Aluminum,0.8741753789893882,6.816213385992769,Education
123,New Construction,Coatings,0.02304701171276,0.0523825655514511,Education
123,New Construction,Concrete,1171.5740822979362,217.61422966258075,Education
123,New Construction,Doors and frames,1.819106603486526,7.687532787000227,Education
123,New Construction,Flooring and tile,1.0391670088514675,3.3002739606412157,Education
123,New Construction,Glazing,5.978351181811563,7.200137138885536,Education
123,New Construction,Gypsum,65.2601535522957,15.226149389154802,Education
123,New Construction,Insulation,6.031189285397466,18.48688033507154,Education
123,New Construction,Masonry,65.38634597342475,19.589906426062853,Education
123,New Construction,Other metals,0.0302320023927284,0.1748587566484313,Education
123,New Construction,Roofing and waterproofing,2.68429774192185,8.938711480599762,Education
123,New Construction,Steel,62.82454025562413,71.57987405451942,Education
123,New Construction,Wood and composites,0.0164656486527641,0.0043469312443297,Education
124,New Construction,Concrete,1372.960009708738,127.0103427184466,Public Assembly
124,New Construction,Doors and frames,0.2075728155339805,0.5739805825242719,Public Assembly
124,New Construction,Flooring and tile,4.823028155339806,4.435347572815534,Public Assembly
124,New Construction,Glazing,2.2135679611650487,3.06237572815534,Public Assembly
124,New Construction,Gypsum,4.168570873786408,1.1616184466019417,Public Assembly
124,New Construction,Insulation,22.404079611650484,49.67498252427185,Public Assembly
124,New Construction,Masonry,5.963098058252427,1.1563126213592234,Public Assembly
124,New Construction,Roofing and waterproofing,5.950225242718446,9.492353398058253,Public Assembly
124,New Construction,Steel,100.3648427184466,117.67683689320388,Public Assembly
124,New Construction,Windows and frames,7.095377669902913,19.33856990291262,Public Assembly
124,New Construction,Wood and composites,155.88851844660195,41.1622854368932,Public Assembly
125,New Construction,Acoustic ceilings,3.2581688536145164,5.0421565195028535,Education
125,New Construction,Air and vapor barriers,1.5245733545006297,1.2349044171455104,Education
125,New Construction,Aluminum,0.9442360479579036,5.65350112475628,Education
125,New Construction,Cladding,1.6720242465888893,9.345572740721046,Education
125,New Construction,Coatings,0.0523737859829537,1.0343435726827954,Education
125,New Construction,Concrete,1207.8308048648555,205.3668452768637,Education
125,New Construction,Doors and frames,0.2338017882433719,1.039813360944949,Education
125,New Construction,Glazing,5.287879880836911,13.731834357611335,Education
125,New Construction,Gypsum,11.896021478903982,2.902629240852572,Education
125,New Construction,Insulation,6.140078596184756,15.310847291173408,Education
125,New Construction,Masonry,52.33059517106828,14.586652906790984,Education
125,New Construction,Other metals,0.0028711476142856,0.0165952332105712,Education
125,New Construction,Roofing and waterproofing,2.5140204662357486,2.204795948888752,Education
125,New Construction,Steel,71.94890079466886,80.0906864559001,Education
125,New Construction,Windows and frames,0.191254702320204,1.6734786453017851,Education
127,New Construction,Acoustic ceilings,0.1327841330546028,0.7532054260982148,Public Assembly
127,New Construction,Adhesives and sealants,0.2210562534926596,0.6280814385136136,Public Assembly
127,New Construction,Aluminum,2.910074774765148,22.3412757156737,Public Assembly
127,New Construction,Cladding,6.008366671380916,7.653740235943652,Public Assembly
127,New Construction,Coatings,1.4350853953381348,4.032633814645641,Public Assembly
127,New Construction,Concrete,985.6497746764456,117.5197233235264,Public Assembly
127,New Construction,Doors and frames,0.1322773110179129,1.261950464586942,Public Assembly
127,New Construction,Glazing,4.948755702797818,6.631332641749077,Public Assembly
127,New Construction,Gypsum,18.37897036595772,6.081424897193912,Public Assembly
127,New Construction,Insulation,10.472652634762362,21.92820838631077,Public Assembly
127,New Construction,Masonry,215.7826914926636,43.76324118389682,Public Assembly
127,New Construction,Other metals,0.1067309525475851,0.6169049057250423,Public Assembly
127,New Construction,Roofing and waterproofing,1.2952289241984407,4.274255449854855,Public Assembly
127,New Construction,Steel,173.14847358359935,170.2470860732272,Public Assembly
127,New Construction,Synthetic composites,0.866466223367481,1.0484241302746518,Public Assembly
127,New Construction,Windows and frames,0.0111850442966953,0.1118504429669536,Public Assembly
127,New Construction,Wood and composites,5.31265127012665,1.9068737166719776,Public Assembly
128,New Construction,Adhesives and sealants,0.1714931665389296,0.0780293907752129,Public Assembly
128,New Construction,Coatings,1.207502616168343,5.3979283567496426,Public Assembly
128,New Construction,Concrete,763.8134509287858,87.17796766398081,Public Assembly
128,New Construction,Flooring and tile,0.499549388973934,2.282940707610878,Public Assembly
