project_index,bldg_proj_type,mat_type,mui,eci,bldg_prim_use_recat
100,New Construction,Air and vapor barriers,0.9643424315002448,1.732216080847302,Education
100,New Construction,Aluminum composite panel ACM,0.3200842313061224,2.5446696388836734,Education
100,New Construction,Aluminum door frame,0.0005583438367346,0.0048855085714285,Education
100,New Construction,Aluminum sheet,0.2605567067110612,1.563177602007246,Education
100,New Construction,Carpet,0.0495352384824489,0.2610507068025061,Education
100,New Construction,Closed cell spray polyurethane foam,0.3324996571836734,1.0473739201285714,Education
100,New Construction,Coatings - other,0.1610589300367755,1.723330551393498,Education
100,New Construction,Cold formed steel framing,2.4893575055565305,6.0989258886135,Education
100,New Construction,Concrete - other,0.0292711661591836,0.0096371045233423,Education
100,New Construction,Decking,11.163271916020406,28.80124154333265,Education
100,New Construction,Doors and frames - other,0.1598141472843265,0.9325178329004832,Education
100,New Construction,EPDM,0.0035729407612244,0.0123981044414489,Education
100,New Construction,Extruded polystyrene XPS,2.431969297843265,158.06235461306093,Education
100,New Construction,Extrusion,1.589358452855102,13.835048945246266,Education
100,New Construction,Fasteners,0.0043695025530612,0.0229293256271097,Education
100,New Construction,Fiberglass blanket,0.1641539640618775,0.2825142222065339,Education
100,New Construction,Flooring and tile - other,0.0018781133075918,0.0104047477240587,Education
100,New Construction,GFRC general,2.401657826122449,0.5908078252261225,Education
100,New Construction,Glass mat gypsum board,0.9885361671791836,0.4675776070757538,Education
100,New Construction,Glazing - other,0.6482497234693878,0.9987000598212246,Education
100,New Construction,Gypsum board,48.44233628601143,11.068005484618464,Education
100,New Construction,Hollow structural sections HSS,2.103662757793878,5.4274499151082045,Education
100,New Construction,Hot-rolled sections,68.29585326101265,152.93772789102047,Education
100,New Construction,Insulated glass unit IGU,7.067887819032041,8.131259849719918,Education
100,New Construction,Medium density fiberboard MDF,0.2012472581632653,0.1416780697469387,Education
100,New Construction,Mineral wool high density,9.350833938110611,11.890606737890929,Education
100,New Construction,Mineral wool low density,0.0017379651877551,0.0026243274335102,Education
100,New Construction,Modified bitumen,0.2084552100612245,0.1713501826703265,Education
100,New Construction,Mortar and grout,0.0110013674297959,0.005901504527784,Education
100,New Construction,Open web joists,0.9972643079142858,1.3762247449217142,Education
100,New Construction,Oriented strand board OSB,2.810687987865306,1.1017896912432,Education
100,New Construction,Other,0.0021527200991836,0.0061137250816816,Education
100,New Construction,Paint,0.724667717057796,1.697434799377377,Education
100,New Construction,Precast,39.16429386983674,6.215556725388828,Education
100,New Construction,Ready mix LW 3000,5.543490575510204,1.4084653122547413,Education
100,New Construction,Ready mix NW 3000,0.8892343000816327,0.1339388178217291,Education
100,New Construction,Ready mix NW 4000,454.3185866237659,74.54817231963453,Education
100,New Construction,Ready mix NW 5000,176.97252988783674,33.88892325932978,Education
100,New Construction,Rebar and reinforcement,32.496467462458,30.354942848001773,Education
100,New Construction,Roll formed metal panel aluminum,0.1653881230261224,1.068407274748751,Education
100,New Construction,Spray applied cementitious,45.88887519416082,52.31331772134333,Education
100,New Construction,Steel - other,5.440977331202449,13.323380247173764,Education
100,New Construction,Steel door,0.7911750751624489,1.6535513628016,Education
100,New Construction,Steel door frame,7.355508244897959e-05,0.0002022764767346,Education
100,New Construction,Stucco finish,1.2239063760000002,0.6022412754641633,Education
100,New Construction,Suspension assembly,0.8201443037772653,1.9929506581787544,Education
100,New Construction,TPO,0.4242642857546938,1.3534030715574736,Education
102,New Construction,Acoustic ceiling tile aluminum,0.5753649623250001,3.88027609660575,Public Assembly
102,New Construction,Acoustic ceiling tile fiber,1.4792942339175,2.0118401581278,Public Assembly
102,New Construction,Adhesives and sealants,0.1646647759695,0.2038609547538675,Public Assembly
102,New Construction,Air and vapor barriers,0.48836482310725,0.8679988169752699,Public Assembly
102,New Construction,Aluminum door,0.00647719994875,0.026038343793975,Public Assembly
102,New Construction,Aluminum sheet,0.0612984287047499,0.43644481237782,Public Assembly
102,New Construction,CMU,47.017361123250005,5.265944445804,Public Assembly
102,New Construction,Carpet,0.456684269,2.570028651205,Public Assembly
102,New Construction,Ceramic tile,4.87073767282125,1.3196989940879176,Public Assembly
102,New Construction,Closed cell spray polyurethane foam,0.4389924162537499,1.3828261111993123,Public Assembly
102,New Construction,Coatings - other,0.2022837104758749,2.132041443891008,Public Assembly
102,New Construction,Cold formed steel framing,3.012085803101125,7.379610217597756,Public Assembly
102,New Construction,Concrete - other,1.254799028625,0.2486543925000789,Public Assembly
102,New Construction,Decking,8.741551213187499,22.55320213002375,Public Assembly
102,New Construction,Doors and frames - other,0.15334715235625,0.81097959997024,Public Assembly
102,New Construction,Extruded polystyrene XPS,1.15535085480125,75.09037086777708,Public Assembly
102,New Construction,Extrusion,0.767934994143625,5.770378461006243,Public Assembly
102,New Construction,Fasteners,0.0457791050725,0.192484458046545,Public Assembly
102,New Construction,Fiberglass blanket,0.001555909614625,0.0028055203469637,Public Assembly
102,New Construction,Flooring and tile - other,0.0157643323975,0.0873344014821499,Public Assembly
