mat_type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Cold formed steel framing,895093.8261450746,916518.4935588045,910569.0252270711,1009771.46722158,1029089.1210092551,1091593.2020545946,1067451.904990105,1058909.2371325153,1096311.0261544567,1131121.2054594285,1153775.9735972383,1168823.9168231753,1163919.0890257787,1138822.3261847473,1111427.7882020383,1087387.1144299547,1069838.9691919526,1055119.775905192,1042019.9775961435,1029732.4609398756,1024908.074318363,1019737.856433418,1015083.4179045272,1015903.5345258004,1019345.2729289182,1025176.4065353766,1031939.541659296,1041978.2030397523,1049976.8323117106,1057943.3422097506,1065595.9692862786
Concrete - other,4808520.322695391,4023158.9655863727,3941664.5492721945,5069071.511333011,5158463.534307366,5322400.216780061,5300432.536960488,5323236.548099813,5403938.371903675,5427848.087468032,5381555.097352872,5343423.254781854,5329958.51790402,5247199.638255844,5135900.459513111,5082452.414907749,5082512.148489842,5058168.328438389,5040622.876516082,5013748.002725549,5055760.728470862,5069781.687431172,5029527.388867112,5020627.521317646,5016603.787787015,5016282.707739022,5006204.665792057,5012904.210838138,4998578.952242824,4977897.488298435,4962936.893139613
Copper sheet,39314.455759051714,48979.98636755287,45004.48226748728,40466.54022580391,42203.52259766753,45784.06542178029,44275.09059577143,43598.75812883197,45736.14179027968,48024.50994094467,49847.378213406795,51072.551917428056,50822.60535114442,49610.46908599673,48393.193938206714,47102.27251049296,45920.274695576445,45007.3301766463,44151.96581945594,43413.22600414586,42893.234920764466,42573.3353609709,42487.928086072345,42639.79568572226,42964.68123150003,43418.60260986714,43964.03141086664,44551.76930987252,45150.83608101963,45736.02090747823,46280.14756802351
Cross laminated timber CLT,2526806.288873349,2767073.1844126224,2727436.840886092,2999298.350438918,3047694.621241288,3252560.3452769276,3164163.023732427,3127056.4923058734,3252529.5165822064,3376785.1452421537,3466596.3617914724,3527046.8154617064,3509158.3807190126,3426428.5434885565,3339646.408037951,3256418.4944797447,3189623.9400470937,3137704.0496740136,3090971.677245474,3048623.827860218,3022628.859550854,2998924.916958214,2986380.320234259,2988982.8257886404,3000320.0655437177,3020050.0146733974,3044933.0496134977,3080265.6370558576,3110842.269548049,3142706.387583203,3172399.519856012
Decking,1297595.1275985665,1401313.5262604184,1399159.3703778414,1465177.5799729987,1509173.5284485195,1621272.5112653913,1575325.7971108465,1556194.4771631123,1623796.1221755107,1692870.3713696557,1744893.538846049,1779995.7439016115,1772070.4965677685,1731510.2988502746,1689424.3429588883,1647805.0402687304,1612639.8944478224,1585062.7476301019,1559744.186947511,1537293.7853067175,1523605.4049271394,1513532.5473146443,1509101.2995783833,1512834.1651219868,1521697.9489177084,1534795.1088939179,1550497.7946257973,1569527.7808658895,1587374.4304646016,1605132.2613259342,1621792.830920403
Doors and frames - other,55230.929304096506,52319.6772722752,52051.08386050607,61307.02577094918,62254.66118282745,65315.16426254927,64297.241393297736,64069.344730426325,65841.24205396269,67253.85793461252,67892.64510814723,68287.91650332301,68036.93171988221,66701.3488641122,65150.50345303951,63986.1146685653,63318.379365708315,62658.63136714725,62094.20877569349,61516.10026104763,61514.75672677712,61358.820989685686,60996.06729467881,60975.05124663966,61070.82463524286,61276.38863743597,61478.030184592484,61897.828608326956,62137.82267725475,62357.27385691842,62588.425187775705
EPDM,23175.07376846413,25684.61045750052,25468.695900626513,25944.742847443198,26743.916566762393,28817.670722169754,27983.05328491025,27637.69261069968,28908.82292669726,30227.404752610146,31248.801763708234,31950.248867440023,31830.44222067759,31113.553809069293,30375.692249388987,29626.651207465962,28982.516846136507,28490.37643928692,28038.377311083128,27642.935756554543,27389.77867701757,27212.835103370566,27162.745962048622,27257.693836568884,27448.950283533904,27720.58695045977,28046.241934974696,28432.23825862321,28802.441827555103,29174.403209195407,29523.73461855636
Expanded polystyrene EPS,126703.49105053031,121812.77701858385,122298.90085097116,140158.0379693795,144182.78886690055,152729.18847706757,149782.65936274925,148913.83278522248,153843.50357877047,158280.63703447193,160956.90655149432,162688.55094897654,162106.4593232044,158861.27531777768,155223.85883643606,152221.99491262034,150143.32015250588,148237.58465846677,146529.7255650039,144901.24962699856,144557.6501818286,144174.09408757437,143517.77564915075,143696.1785500815,144244.59614202377,145080.21136697812,145959.4644706801,147170.76570005403,148110.02495253267,148955.80159183533,149801.1203049312
Extruded polystyrene XPS,129422.66932272293,127051.9486676422,124983.58086261971,145715.13074072913,149422.1044315482,157971.77862722488,154920.1477802319,153987.7498563236,158893.3614800579,163231.68851350716,165741.07441457736,167329.11093895792,166641.00039053586,163222.35880173885,159387.89409924316,156250.31068739592,154109.18580484635,152134.22986211785,150371.85734174098,148675.20857279876,148299.66978855588,147824.51136174693,147049.1002897424,147120.1155340203,147551.67950465853,148273.28129410013,149032.49091812654,150170.56580123815,150999.17329493386,151743.4581674216,152489.05011691677
Extrusion,468624.3786134855,463865.9452058514,463012.8286948786,509889.8330012006,524132.6716184381,556248.9340458245,544962.2495884302,541452.4556697304,560255.4627917685,577575.5470471362,588574.7035040979,595836.7707170534,593779.0550153898,581766.7922545903,568441.9947664759,557124.8265018637,549040.6895157532,541892.1999524595,535479.0170518296,529441.2382427566,527808.9400718361,526176.6750588844,524018.3329971637,524858.476999402,527099.2238467714,530459.7462663648,534103.1411499598,539012.5462559607,542989.6575558671,546700.863858705,550352.4951408664
Fasteners,10763.950877375042,9230.712284794026,9382.671414725299,12263.631971852963,12429.29001317132,12920.419830848248,12787.498075041454,12787.020531214992,13055.224969370294,13217.967008318714,13219.349306751083,13207.556249160865,13161.14073668019,12922.440027781171,12628.228288633805,12442.181859344484,12371.873871830347,12274.899114686796,12196.309789156048,12104.732488487718,12150.507874424611,12144.313525767495,12055.197185672336,12036.327521455345,12033.889021088282,12047.057221414507,12048.711619818225,12095.42160676917,12097.407469534799,12091.281000401303,12092.799258753856
Fiberglass blanket,303110.96541093965,285111.8092596571,282251.5581643677,330208.735381153,336975.62519360776,353770.7875663785,348649.5523636646,347756.7314539547,357381.8081492443,365028.44513407483,368446.26811583224,370576.23603863764,369446.3906092717,362536.9086056926,354414.1752896325,348469.37668393337,345176.5734017816,341763.2710568678,338832.9309418543,335820.01198349136,336135.7387722696,335691.217449836,333873.04618249764,333984.8068604302,334760.9792685176,336105.04211397097,337369.39182640845,339674.02078878944,341049.7705642148,342228.8715683253,343504.3694268055
Fiberglass door,65112.01161375513,59250.088259753844,56776.16177419581,69817.08243522313,70515.33018768817,72941.75110355095,72472.10236993615,72670.1577837429,73996.81067407412,74621.28003909213,74315.69197633675,74055.21836253902,73876.95446928323,72660.16722351452,71085.8196868829,70215.13018685002,70062.58976310442,69685.58514545397,69413.31595282964,69032.29775670692,69482.49675505969,69556.49074954921,69058.31361615559,68963.07132020334,68939.8196625681,68993.85135801841,68959.50836211279,69211.62926090951,69175.0126048264,69092.72410214,69067.74308266245
Fiberglass framed window,296060.34290809167,279327.93989908736,271297.380728627,323065.2216666616,329518.1973823771,345034.56434613233,340253.9502556315,339459.42513200175,348108.9822156639,354599.4149705011,356901.7798716855,358156.6670876717,356845.8494485159,350081.6198305059,342066.03240290954,336386.20435796265,333398.249567669,330104.83054250845,327281.67391883925,324317.4668376482,324749.67080351117,324313.0076811268,322245.45456257113,322063.7615637583,322476.52761383395,323388.21819270746,324138.71039308823,325889.1595581273,326678.2394263041,327238.3326952476,327927.04757289635
Flooring and tile - other,31852.02024877235,35639.10543560887,34374.96295685517,40764.65482423381,41057.34869674433,43614.92066633036,42514.89255245318,42071.722591032725,43672.32391762164,45211.525075362166,46286.026421617884,47019.44401871948,46796.725311998154,45710.45251494963,44555.32971710962,43478.70932962059,42659.09824140292,42028.93426848283,41473.679388971555,40961.502779016206,40664.31572172079,40346.748399325465,40168.7923619258,40185.87729019853,40306.12802353301,40538.68231533629,40838.86126943943,41316.91122413057,41707.221138604255,42128.259729215395,42521.95331585126
GFRC general,3067750.07695015,2485021.152803516,2436454.371077507,3227178.14576227,3289883.684034258,3385321.3903438924,3377807.520324576,3396656.2798900018,3440530.2522546523,3445292.0323368055,3404506.75689655,3371839.7929229555,3363643.5157139013,3313801.5497524347,3244595.0950574195,3215198.246016503,3221052.0305716502,3208288.9384535304,3199664.8632709933,3184253.164349337,3215512.531628724,3227628.623897958,3200524.4272869015,3193891.6723306123,3189920.7493281206,3187615.388534385,3177894.454537133,3178224.4692323375,3164660.726624147,3146277.242933348,3132122.7270273464
GFRC panel,15153.951491112566,17591.26557146384,16592.86704631369,16587.72382153588,16537.500281565815,17494.47676725607,17111.018291548007,16976.555350759103,17606.326813080355,18193.38909242427,18594.325952328832,18882.463994694175,18823.521978326822,18415.321537437172,17972.0638972307,17571.80365003918,17291.4602714193,17085.0923713965,16911.11460727748,16747.13103021583,16665.473559022823,16551.856956759588,16494.711164411878,16513.013756838303,16567.541385957447,16668.960631039736,16798.99032303375,17020.83300496892,17196.357232661154,17392.001609549396,17577.033970587312
Glass mat gypsum board,1620880.694087625,1602537.8304128551,1579250.5185427829,1797514.6306574922,1841751.2019093751,1947636.9596359322,1909473.6494584312,1897595.406823148,1958640.6284627784,2012904.4794407147,2044705.8434794382,2064953.280870005,2056419.4090468315,2013981.9869992686,1966516.618657812,1927393.3416249978,1900509.1770640514,1875980.8306248714,1854106.058477152,1833097.110903781,1828058.9808919695,1821817.7269001594,1812350.6782026624,1813239.892756043,1818585.6090247938,1827576.6604679092,1837153.9619616785,1851551.4149647052,1862132.9281729413,1871786.9675537576,1881397.3221846677
Glazing - other,289678.956243653,310918.5204826716,309741.07514916995,325473.6732730983,334703.2013677281,358715.70581082563,348693.50862036424,344490.7782549314,358828.9570082035,373298.675938752,383949.88845560147,391037.92595456453,389091.0741808964,380056.24668183876,370631.4198419484,361476.1818230695,353852.3890350243,347779.9006808226,342213.63543162256,337229.15331131266,334268.83229380194,331975.7861377288,330735.48279966216,331289.02018020296,332924.9769321603,335458.0256339698,338509.7792202547,342322.43635944807,345812.9974992823,349272.69353183126,352512.4798135728
Glue laminated timber GLT,791417.6487343449,876790.055989101,863159.2581966829,936725.8978535179,973402.177787041,1050732.359639651,1016524.2098073027,1000794.5132305005,1045901.9933191517,1093333.0634886145,1129802.5091640495,1153577.4653344238,1146315.3637217507,1117795.2817899862,1088882.525248182,1059249.2441680245,1032712.7518615503,1011620.6140347867,991896.1854179715,974550.3649545035,962694.7768074325,954662.8956163432,950875.5747263798,952428.0283153065,957621.7968442147,965525.083452535,975176.9481398959,985921.4839792469,996573.6627707095,1006836.1281634019,1016285.6553283846
Gypsum board,18866403.510178603,16395502.178045437,16072954.428699154,20213603.197365697,20531574.88955248,21264392.802949104,21118383.598531432,21169892.456440926,21555034.02675154,21739409.197343256,21650768.448369935,21568704.27038013,21509391.709228963,21153131.861887023,20693493.455957454,20439041.48967774,20387141.296047803,20263815.228049207,20169072.153273646,20044665.75306136,20171760.02406395,20199692.488348603,20050121.73453022,20021515.473772436,20016356.784452483,20031626.412244152,20017938.606303096,20075204.394020807,20053510.794027433,20012450.66460403,19989275.730613913
HDPE,15316.465473172459,17208.071244444654,17062.564618735854,18610.629378681282,19374.858550018515,20981.179905642886,20253.480585268004,19908.47602012355,20847.17818053242,21851.175338646346,22640.099749906276,23155.14631729521,23000.6520275656,22411.901822174546,21822.813508485582,21202.558409386023,20633.352262731645,20186.755833553787,19767.4381256954,19401.64471845733,19134.657773444866,18957.640058418816,18885.40036842651,18918.611994050527,19028.245994002213,19194.44512285349,19400.339553358062,19624.043930548338,19851.83351394135,20072.61770882125,20274.52969344001
Hardwood,223918.0329056494,218941.52344626904,224060.90009136926,268681.2353608015,268387.3925515756,281866.78551243246,276601.53696592804,274965.58689704695,283444.4257662284,290651.8481000409,294689.2571940336,297457.75766310806,296281.33527254884,289955.6319290454,282858.7361068419,277021.468070796,273363.65994072886,270346.21084672806,267829.04466158384,265313.260007107,264606.8338687219,263101.57310474,261660.2978688384,261495.6709289679,261806.0133495354,262732.03757785965,263890.21191091527,266435.3096361805,268117.28415714356,269993.08796284266,271801.44818554627
Heavy timber framing,379020.6036898222,346562.8854522634,331281.61991556967,407317.2819568756,416510.55049619667,433707.3154837415,429448.8357011095,429646.1216500305,438685.18101142696,444235.5838625263,444303.306450148,443830.4111425595,442373.9082100872,434649.1839157108,425034.59821941843,419122.7022395667,416931.864675579,413590.63064001774,410799.63254600845,407604.4026023896,409374.00133067206,409668.65773512365,406759.10792577395,406346.520838515,406563.40650843375,407243.8888003719,407428.9953457804,408766.2596401743,408742.325556014,408257.5741296244,408080.8365605059
Hollow structural sections HSS,1484143.816656199,1532524.1689926197,1542229.392040995,1711778.4596397744,1766340.3078572177,1891212.6074880252,1839919.5435554776,1818786.9692472634,1892065.5985900434,1965291.335629608,2018049.7235279982,2052651.0653342907,2042189.072626262,1995299.8428500728,1946028.9014366032,1899079.0336973239,1860316.24823321,1828593.205182356,1799413.847845193,1773123.740016244,1758689.2854035022,1747760.1198370294,1740591.289690456,1743162.8940712456,1751399.1605832116,1764081.5250505882,1779020.9957694493,1797326.2019825068,1813969.9203782424,1829998.2862294894,1845086.5572301664
